IDEvento;NombreInvitado;DNI;Email;Direccion"
01;Juan Perez;40111222;juan@gmail.com;Mitre 120
01;Ana Gomez;38999111;ana@gmail.com;Rivadavia 450
02;Luis Sosa;41222333;luis@gmail.com;San Martin 890
03;Maria Lopez;39888777;maria@gmail.com;Rawson 155
04;Carlos Diaz;35555111;carlos@gmail.com;Santa Fe 741
05;Juan Perez;40111222;juan@gmail.com;Mitre 120
05;Lucia Torres;42233444;lucia@gmail.com;Laprida 999
06;Ana Gomez;38999111;ana@gmail.com;Rivadavia 450
06;Pedro Ruiz;43333555;pedro@gmail.com;Belgrano 321
02;Maria Lopez;39888777;maria@gmail.com;Rawson 155
